batch_id,model,batch_size,file_numbers,true_labels,pred_labels,batch_correct,batch_attempted,error,http_status,raw_response,prompt_tokens,completion_tokens,total_tokens
19,google/gemma-4-31b-it,10,5177|3371|6971|2362|4250|1686|5785|9624|493|2908,8|4|4|9|6|7|2|8|9|8,6|4|4|9|6|7|2|8|9|8,9,10,,200,"6,4,4,9,6,7,2,8,9,8",3094,20,3114
20,google/gemma-4-31b-it,10,3542|8250|1363|7860|295|1632|6074|5248|9552|3395,8|0|1|2|8|4|3|0|7|3,6|1|1|2|8|4|3|0|7|3,8,10,,200,"6,1,1,2,8,4,3,0,7,3",3094,20,3114
21,google/gemma-4-31b-it,10,7111|3251|5237|3635|875|8708|5374|2419|5573|9846,3|0|5|9|9|8|5|4|4|3,3|0|5|9|9|8|5|4|4|3,10,10,,200,"3,0,5,9,9,8,5,4,4,3",3094,20,3114
22,google/gemma-4-31b-it,10,9839|2116|6838|6742|1823|6116|1359|4207|7485|2998,7|6|1|6|1|1|4|0|0|5,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
23,google/gemma-4-31b-it,10,8925|1998|8966|5196|4545|8772|5844|1736|5003|2167,9|5|1|8|4|7|6|9|4|9,9|5|1|8|4|7|6|9|4|9,10,10,,200,"9,5,1,8,4,7,6,9,4,9",3094,20,3114
24,google/gemma-4-31b-it,10,4225|4825|727|3639|9037|73|7226|5423|1653|6226,7|8|2|6|5|8|9|8|3|4,7|8|6|6|5|8|9|8|3|1,8,10,,200,"7,8,6,6,5,8,9,8,3,1",3094,20,3114
25,google/gemma-4-31b-it,10,2977|1885|5740|8391|7091|4057|8800|3218|1743|9442,1|2|8|7|6|2|7|0|2|0,1|2|8|7|6|2|7|0|2|8,9,10,,200,"1,2,8,7,6,2,7,0,2,8",3094,20,3114
26,google/gemma-4-31b-it,10,6994|3541|6191|1459|9026|1211|9450|4333|8546|7153,4|2|2|1|5|3|2|9|3|2,4|6|2|1|5|7|2|9|3|2,8,10,,200,"4,6,2,1,5,7,2,9,3,2",3094,20,3114
27,google/gemma-4-31b-it,10,770|8782|7227|8683|2241|2738|5905|648|8604|9268,1|7|9|4|5|6|8|0|1|6,1|7|9|4|5|6|8|0|1|6,10,10,,200,"1,7,9,4,5,6,8,0,1,6",3094,20,3114
28,google/gemma-4-31b-it,10,2503|1495|2114|1170|1160|9949|1805|5551|5439|9396,3|9|7|5|9|8|0|3|0|3,3|2|7|5|9|8|6|3|0|3,8,10,,200,"3,2,7,5,9,8,6,3,0,3",3094,20,3114
29,google/gemma-4-31b-it,10,8718|198|9912|7243|8374|6057|2605|4029|6835|9882,7|9|6|5|8|2|2|0|9|6,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
30,google/gemma-4-31b-it,10,9256|4931|8249|4115|9100|1480|5478|2231|8382|3070,7|1|5|7|4|7|3|4|1|6,7|1|5|7|4|7|3|2|1|6,9,10,http_400_fallback,400,fallback_to_single,7280,20,7300
31,google/gemma-4-31b-it,10,3096|2601|8026|2953|6935|7086|1739|5304|6747|5806,6|2|1|9|2|1|5|0|2|5,6|7|1|9|2|1|5|0|2|8,8,10,,200,"6,7,1,9,2,1,5,0,2,8",3094,20,3114
32,google/gemma-4-31b-it,10,2409|8717|3610|9270|8829|5017|5533|6188|5787|9175,0|5|9|0|7|4|8|7|2|5,0|5|2|0|7|4|8|7|2|5,9,10,,200,"0,5,2,0,7,4,8,7,2,5",3094,20,3114
33,google/gemma-4-31b-it,10,7682|3919|8880|5620|8285|2251|145|2348|9663|4107,6|3|9|8|9|3|5|4|1|7,6|3|2|8|9|3|5|4|1|7,9,10,,200,"6,3,2,8,9,3,5,4,1,7",3094,20,3114
34,google/gemma-4-31b-it,10,2888|7939|4635|7415|2155|3|349|7558|2187|1378,0|5|6|6|5|5|5|5|1|3,|5||6|5||5|5|1|3,7,7,http_400_fallback,400,fallback_to_single,5096,14,5110
35,google/gemma-4-31b-it,10,7022|7329|3818|2777|1910|9320|8979|15|1321|3863,0|1|4|4|8|8|6|4|6|2,0|1|2|3|8|8|6|4|6|2,8,10,,200,"0,1,2,3,8,8,6,4,6,2",3094,20,3114
36,google/gemma-4-31b-it,10,8381|5541|9824|5799|4976|3554|5596|4154|3981|6184,4|8|3|0|2|5|7|4|9|8,4|8|3|0|6|5|7|4|9|8,9,10,,200,"4,8,3,0,6,5,7,4,9,8",3094,20,3114
37,google/gemma-4-31b-it,10,7592|848|8274|7116|4995|3848|217|7079|9317|3570,2|5|3|5|9|7|2|5|7|4,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
38,google/gemma-4-31b-it,10,3252|6979|9659|1586|3690|5122|2457|8891|402|9154,3|7|0|9|5|6|0|1|8|6,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
39,google/gemma-4-31b-it,10,2521|433|1615|753|9314|8956|6970|6952|5781|9657,4|5|2|4|2|1|8|2|5|8,4|5|2|4|2|1|8|2|5|8,10,10,,200,"4,5,2,4,2,1,8,2,5,8",3094,20,3114
40,google/gemma-4-31b-it,10,5810|8946|3394|2411|4385|9898|2650|7273|5463|7197,8|3|3|0|9|4|4|4|7|4,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
41,google/gemma-4-31b-it,10,4009|4183|9972|383|8147|6562|3499|8279|1541|8791,0|3|4|6|8|0|6|3|9|7,0|3|4|6|8|5|6|3|9|7,9,10,,200,"0,3,4,6,8,5,6,3,9,7",3094,20,3114
42,google/gemma-4-31b-it,10,1322|7328|8907|4055|2836|2458|9255|5007|8989|7557,8|7|9|8|2|8|6|3|7|3,8|7|9|8|2|8|6|3|7|3,10,10,,200,"8,7,9,8,2,8,6,3,7,3",3094,20,3114
43,google/gemma-4-31b-it,10,7690|7874|8740|9684|765|2356|3123|4275|3600|1137,5|9|5|3|9|2|4|3|1|5,|||||||||,0,0,bad_payload:missing_choices,,,0,0,0
44,google/gemma-4-31b-it,10,8268|3615|1174|3915|6088|784|3044|1158|4378|9918,9|9|1|1|7|0|6|7|8|6,9|9|1|1|7|0|6|7|8|6,10,10,,200,"9,9,1,1,7,0,6,7,8,6",3094,20,3114
45,google/gemma-4-31b-it,10,8280|4544|9029|6732|1956|3202|8541|7143|1848|6402,9|0|9|6|5|5|8|3|0|6,9|0|9|6|5|5|8|3|0|2,9,10,,200,"9,0,9,6,5,5,8,3,0,2",3094,20,3114
46,google/gemma-4-31b-it,10,5985|4003|5732|2895|5932|2287|7407|2553|8996|4914,4|4|4|3|9|0|8|1|6|2,4|4|4|3|9|0|8|1|6|2,10,10,,200,"4,4,4,3,9,0,8,1,6,2",3094,20,3114
47,google/gemma-4-31b-it,10,1849|7644|3983|3825|5865|5167|5597|2680|2488|4252,3|1|8|7|2|3|1|7|1|0,3|1|8|7|2|3|1|7|1|0,10,10,,200,"3,1,8,7,2,3,1,7,1,0",3094,20,3114
48,google/gemma-4-31b-it,10,5188|849|9035|2067|464|4713|9055|1198|9696|1187,7|9|7|2|0|2|1|1|6|0,7|9|7|2|0|2|1|1|6|0,10,10,,200,"7,9,7,2,0,2,1,1,6,0",3094,20,3114
49,google/gemma-4-31b-it,10,3275|5710|7993|4809|9391|7208|5945|2022|9205|9872,5|4|9|0|5|9|2|7|0|4,5|4|9|0|5|9|6|7|0|4,9,10,,200,"5,4,9,0,5,9,6,7,0,4",3094,20,3114
50,google/gemma-4-31b-it,10,9906|8367|1757|4447|9577|8887|2338|1384|4709|6700,2|8|2|5|3|2|7|8|6|2,2|6|2|5|3|2|6|8|6|2,8,10,,200,"2,6,2,5,3,2,6,8,6,2",3094,20,3114
